                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3538,                 1.3679,                 1.0945,                 0.7395,                0.65439,                0.69708,                0.45352,                 1.1124,                0.77276,                 1.0162,             0.00033243,             0.00033243,             0.00033243
                      2,                 1.2166,                0.88057,                 1.0501,                0.76488,                0.64316,                0.74262,                 0.4904,                 1.0838,                0.75287,                 1.0122,             0.00065918,             0.00065918,             0.00065918
                      3,                 1.1858,                0.83315,                 1.0419,                0.85592,                0.68273,                 0.8029,                 0.5321,                 1.0494,                0.70089,                0.99708,             0.00097932,             0.00097932,             0.00097932
                      4,                 1.1447,                 0.7879,                 1.0261,                 0.8423,                0.75236,                0.83514,                0.56593,                 1.0067,                0.65694,                0.98208,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1061,                0.74608,                 1.0101,                0.88554,                0.76849,                0.86949,                0.58848,                0.98712,                0.63141,                0.97312,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.0733,                0.71357,                0.99624,                0.89505,                0.79043,                0.88456,                0.61066,                0.97595,                0.60099,                0.96536,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.0461,                 0.6922,                0.98944,                0.89388,                0.78604,                0.88957,                0.63894,                0.90506,                0.56609,                0.94322,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.0215,                0.66247,                0.98058,                0.89395,                0.79748,                0.89585,                0.64412,                0.93232,                0.57609,                 0.9554,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.0004,                0.64351,                0.96716,                0.91493,                  0.808,                0.90761,                 0.6655,                0.88039,                0.52879,                 0.9354,              0.0009208,              0.0009208,              0.0009208
                     10,                0.97866,                0.62861,                0.96282,                0.91161,                0.82534,                0.91423,                0.66935,                 0.8855,                0.54295,                0.93451,              0.0009109,              0.0009109,              0.0009109
                     11,                0.96801,                0.61381,                0.96015,                 0.9063,                0.83661,                0.92018,                 0.6752,                 0.8626,                0.51552,                0.93014,               0.000901,               0.000901,               0.000901
                     12,                0.94907,                0.60176,                0.95288,                0.91413,                0.85582,                0.93029,                0.69234,                0.83332,                0.50215,                0.91677,              0.0008911,              0.0008911,              0.0008911
                     13,                0.94257,                0.59234,                0.94977,                0.93455,                0.83621,                0.93285,                0.69751,                0.82706,                0.49264,                0.91777,              0.0008812,              0.0008812,              0.0008812
                     14,                0.93474,                0.58815,                0.94815,                0.92758,                 0.8662,                  0.939,                0.71115,                0.80607,                0.47682,                0.90903,              0.0008713,              0.0008713,              0.0008713
                     15,                0.90959,                0.57197,                 0.9402,                0.92916,                0.87238,                0.94447,                0.71242,                0.79804,                0.47548,                0.90725,              0.0008614,              0.0008614,              0.0008614
                     16,                0.90198,                0.56132,                0.93724,                0.92026,                0.88358,                0.94572,                0.72255,                0.79783,                0.46333,                0.90586,              0.0008515,              0.0008515,              0.0008515
                     17,                0.89165,                0.55074,                0.93203,                0.93091,                0.86786,                0.94283,                0.72282,                0.78713,                0.46519,                 0.9035,              0.0008416,              0.0008416,              0.0008416
                     18,                0.88595,                0.54995,                0.93062,                0.94435,                0.87563,                0.95052,                0.73284,                0.77927,                0.45644,                0.89968,              0.0008317,              0.0008317,              0.0008317
                     19,                0.87652,                0.54632,                0.92711,                 0.9382,                0.88904,                0.95004,                0.73816,                0.76504,                0.44751,                0.89815,              0.0008218,              0.0008218,              0.0008218
                     20,                0.86739,                0.53475,                0.92445,                0.94305,                 0.8871,                0.95087,                0.73829,                0.76334,                0.44236,                0.89389,              0.0008119,              0.0008119,              0.0008119
                     21,                0.85903,                0.52857,                0.92082,                0.94811,                0.88994,                0.95395,                0.74933,                0.74981,                0.43594,                0.89085,               0.000802,               0.000802,               0.000802
                     22,                0.85577,                0.52654,                0.91961,                 0.9339,                0.89914,                0.95468,                0.75116,                0.74531,                0.43474,                 0.8893,              0.0007921,              0.0007921,              0.0007921
                     23,                0.83921,                0.51308,                0.91436,                 0.9434,                0.89685,                0.95668,                0.75657,                0.73523,                 0.4341,                0.88666,              0.0007822,              0.0007822,              0.0007822
                     24,                0.83641,                0.51493,                0.91308,                0.94578,                0.90575,                0.95824,                0.75925,                0.72653,                0.41669,                0.88544,              0.0007723,              0.0007723,              0.0007723
                     25,                0.83063,                0.50783,                0.91062,                0.94899,                0.89913,                0.95791,                0.75918,                0.72693,                0.41742,                0.88275,              0.0007624,              0.0007624,              0.0007624
                     26,                0.82714,                0.50523,                0.90878,                0.95179,                0.89234,                0.95578,                 0.7585,                0.72537,                0.41742,                0.88301,              0.0007525,              0.0007525,              0.0007525
                     27,                0.81817,                0.50247,                0.90836,                 0.9549,                0.89959,                0.95918,                0.76611,                0.71667,                0.40855,                0.88025,              0.0007426,              0.0007426,              0.0007426
                     28,                0.81151,                0.49518,                0.90804,                0.94962,                0.90199,                0.96094,                 0.7711,                0.70768,                0.40805,                0.87909,              0.0007327,              0.0007327,              0.0007327
                     29,                0.80952,                0.49215,                0.90342,                0.95619,                0.91073,                0.96186,                0.77313,                0.70278,                0.40428,                0.87686,              0.0007228,              0.0007228,              0.0007228
                     30,                0.80103,                0.48695,                0.90354,                 0.9601,                0.90848,                0.96426,                0.77509,                0.70284,                0.40174,                0.87724,              0.0007129,              0.0007129,              0.0007129
                     31,                0.79432,                0.48067,                0.89997,                0.94626,                0.91494,                  0.963,                0.77304,                0.70043,                0.39839,                0.87555,               0.000703,               0.000703,               0.000703
                     32,                0.79053,                0.47981,                0.89794,                  0.951,                0.91448,                0.96506,                0.77831,                0.69585,                0.39426,                0.87382,              0.0006931,              0.0006931,              0.0006931
                     33,                0.78964,                0.47661,                0.89836,                0.94972,                0.92188,                0.96653,                0.78278,                0.68474,                0.38672,                0.87185,              0.0006832,              0.0006832,              0.0006832
                     34,                0.78221,                0.47289,                0.89694,                0.96154,                0.91547,                0.96697,                0.78604,                 0.6876,                0.38897,                0.87077,              0.0006733,              0.0006733,              0.0006733
                     35,                0.77592,                0.46935,                0.89062,                0.95774,                0.92527,                0.96704,                0.78971,                0.67069,                0.38288,                0.86741,              0.0006634,              0.0006634,              0.0006634
                     36,                 0.7686,                0.46482,                0.89421,                0.95028,                0.92404,                0.96562,                0.78534,                0.67753,                0.38457,                0.86929,              0.0006535,              0.0006535,              0.0006535
                     37,                0.76755,                0.46394,                0.89234,                0.95202,                0.92443,                  0.967,                0.79115,                0.66443,                0.37603,                0.86544,              0.0006436,              0.0006436,              0.0006436
                     38,                0.76604,                0.46012,                0.89094,                0.97019,                0.91592,                 0.9683,                0.79814,                0.65973,                0.37388,                0.86495,              0.0006337,              0.0006337,              0.0006337
                     39,                 0.7507,                0.45339,                0.88408,                0.95486,                 0.9201,                0.96758,                0.79159,                0.65881,                0.37301,                0.86365,              0.0006238,              0.0006238,              0.0006238
                     40,                0.75543,                0.45577,                0.88766,                0.96252,                0.91793,                0.96763,                0.79768,                0.66025,                0.37568,                0.86386,              0.0006139,              0.0006139,              0.0006139
                     41,                0.74551,                0.44891,                0.88547,                0.96652,                 0.9217,                0.96916,                0.80049,                0.65674,                0.37009,                0.86375,               0.000604,               0.000604,               0.000604
                     42,                 0.7514,                0.45515,                0.88705,                 0.9619,                0.92945,                0.96982,                 0.7999,                0.65542,                0.36858,                0.86294,              0.0005941,              0.0005941,              0.0005941
                     43,                 0.7398,                0.44378,                0.88131,                0.95291,                0.92943,                0.97042,                0.79887,                0.65579,                0.36667,                0.86337,              0.0005842,              0.0005842,              0.0005842
                     44,                 0.7439,                0.44756,                0.88554,                0.96187,                0.92642,                0.96936,                0.80347,                0.64701,                0.36161,                0.85985,              0.0005743,              0.0005743,              0.0005743
                     45,                0.73285,                0.44064,                0.87932,                0.96272,                0.92902,                0.97044,                0.80342,                 0.6481,                0.36236,                0.86134,              0.0005644,              0.0005644,              0.0005644
                     46,                0.72911,                0.43879,                 0.8791,                0.95706,                0.92824,                0.97038,                0.81005,                0.64011,                0.35722,                0.85924,              0.0005545,              0.0005545,              0.0005545
                     47,                0.72644,                0.43592,                0.87935,                 0.9659,                0.92976,                0.97096,                0.80895,                0.63619,                0.35792,                0.85783,              0.0005446,              0.0005446,              0.0005446
                     48,                0.72079,                 0.4331,                0.87715,                0.96524,                0.93109,                0.97299,                0.81516,                0.63389,                0.35759,                0.85713,              0.0005347,              0.0005347,              0.0005347
                     49,                0.71552,                 0.4284,                0.87654,                0.96891,                0.92895,                0.97211,                0.81636,                0.62681,                0.35081,                0.85624,              0.0005248,              0.0005248,              0.0005248
                     50,                0.71072,                0.42705,                0.87527,                0.97422,                0.92374,                0.97198,                0.81791,                0.62625,                0.35091,                0.85704,              0.0005149,              0.0005149,              0.0005149
                     51,                0.71198,                0.42557,                0.87508,                0.97104,                  0.926,                0.97389,                 0.8164,                0.62824,                0.35089,                0.85693,               0.000505,               0.000505,               0.000505
                     52,                0.70507,                0.42406,                0.87429,                0.96639,                0.93352,                0.97295,                0.81746,                0.62277,                0.34867,                0.85422,              0.0004951,              0.0004951,              0.0004951
                     53,                0.70766,                0.42647,                0.87425,                0.96345,                0.93875,                0.97479,                0.82231,                0.61878,                0.34596,                0.85279,              0.0004852,              0.0004852,              0.0004852
                     54,                0.70063,                0.42013,                0.87251,                0.96757,                0.93185,                0.97397,                0.81938,                0.62011,                0.34407,                0.85423,              0.0004753,              0.0004753,              0.0004753
                     55,                0.69999,                0.41753,                0.87153,                0.96973,                0.93377,                0.97453,                0.82427,                0.61607,                0.34377,                0.85285,              0.0004654,              0.0004654,              0.0004654
                     56,                0.69189,                0.41392,                0.86968,                0.96985,                0.93314,                0.97527,                0.82437,                0.61383,                0.34156,                0.85343,              0.0004555,              0.0004555,              0.0004555
                     57,                0.68222,                0.40885,                0.86921,                0.96973,                0.93662,                0.97444,                0.82567,                0.60858,                0.33988,                0.85107,              0.0004456,              0.0004456,              0.0004456
                     58,                0.68787,                0.41403,                0.86979,                 0.9698,                0.93651,                0.97573,                0.82888,                0.60891,                0.33727,                0.85097,              0.0004357,              0.0004357,              0.0004357
                     59,                0.68767,                0.41063,                0.86968,                0.97107,                0.93885,                0.97433,                0.82751,                0.60607,                 0.3364,                0.85107,              0.0004258,              0.0004258,              0.0004258
                     60,                0.68129,                 0.4064,                0.86649,                0.96222,                0.94384,                0.97596,                0.82709,                 0.6065,                0.33446,                0.85069,              0.0004159,              0.0004159,              0.0004159
                     61,                0.68228,                0.40763,                0.86693,                0.96831,                0.94109,                0.97598,                0.83078,                0.60108,                 0.3332,                0.84855,               0.000406,               0.000406,               0.000406
                     62,                0.67767,                0.40498,                0.86662,                0.97196,                0.93356,                0.97671,                0.83325,                0.59777,                0.33141,                0.84815,              0.0003961,              0.0003961,              0.0003961
                     63,                0.67099,                0.40022,                 0.8633,                 0.9672,                0.94401,                0.97713,                0.83282,                0.59816,                0.33006,                0.84822,              0.0003862,              0.0003862,              0.0003862
                     64,                 0.6747,                0.40236,                0.86708,                0.96392,                0.94302,                0.97709,                0.83311,                0.59435,                 0.3283,                0.84651,              0.0003763,              0.0003763,              0.0003763
                     65,                  0.665,                0.39668,                0.86234,                0.97405,                0.93775,                0.97673,                0.83035,                0.59638,                 0.3306,                0.84845,              0.0003664,              0.0003664,              0.0003664
